	phcn		gc3n4			
562.5	0.153	562.5	0.121881758618844			
562	0.15362	562	0.122732829220235			
561.5	0.15384	561.5	0.122410368507928			
561	0.15501	561	0.122904692533928			
560.5	0.15543	560.5	0.123310336247391			
560	0.15478	560	0.124350630093151			
559.5	0.15793	559.5	0.123450083689332			
559	0.15558	559	0.124270629745952			
558.5	0.15585	558.5	0.122509898777138			
558	0.15653	558	0.12326838308159			
557.5	0.15704	557.5	0.124394897916374			
557	0.15878	557	0.12342939643861			
556.5	0.15929	556.5	0.124500070163053			
556	0.15829	556	0.124786364353118			
555.5	0.15998	555.5	0.123513158104122			
555	0.15951	555	0.123240896524687			
554.5	0.16084	554.5	0.124929583781195			
554	0.16007	554	0.125079891847632			
553.5	0.16053	553.5	0.125299784302861			
553	0.16166	553	0.126153603559943			
552.5	0.16195	552.5	0.125161628187898			
552	0.16212	552	0.126279318391255			
551.5	0.16107	551.5	0.125809153602113			
551	0.1625	551	0.125440399741337			
550.5	0.16274	550.5	0.124522204074665			
550	0.16468	550	0.124491534863804			
549.5	0.16408	549.5	0.126101813100093			
549	0.16433	549	0.127725255950478			
548.5	0.1653	548.5	0.127430715793342			
548	0.1649	548	0.127460661673758			
547.5	0.16679	547.5	0.128548839994966			
547	0.16665	547	0.126801562972425			
546.5	0.16783	546.5	0.127030424725171			
546	0.16713	546	0.126046984652375			
545.5	0.16716	545.5	0.128870866709006			
545	0.16735	545	0.130475936966092			
544.5	0.169	544.5	0.127144566269365			
544	0.16882	544	0.128982548929688			
543.5	0.17012	543.5	0.127462397666825			
543	0.17033	543	0.12866862351663			
542.5	0.17096	542.5	0.128503704175208			
542	0.17164	542	0.128646344938929			
541.5	0.17237	541.5	0.131393843300586			
541	0.17142	541	0.130529029420743			
540.5	0.1732	540.5	0.128026161415529			
540	0.17368	540	0.129912896547833			
539.5	0.17421	539.5	0.130041504700925			
539	0.17471	539	0.129940527770826			
538.5	0.17488	538.5	0.131041436707863			
538	0.17607	538	0.131252793863843			
537.5	0.17543	537.5	0.130757457175221			
537	0.1767	537	0.131563681289033			
536.5	0.17705	536.5	0.130408667234722			
536	0.17754	536	0.132799129688809			
535.5	0.17762	535.5	0.132628857702095			
535	0.17914	535	0.13268976212555			
534.5	0.17855	534.5	0.132185166807234			
534	0.18033	534	0.131532722745994			
533.5	0.18054	533.5	0.133913058573853			
531	0.185955429296777	533	0.13230335900192			
530	0.187842711716492	532.5	0.134703658750056			
529	0.190811214153619	532	0.135176861527066			
528	0.193698881825655	531.5	0.134040943396499			
527	0.195759777298307	531	0.135266699168315			
526	0.199062132427939	530.5	0.135036969419035			
525	0.201889675704496	530	0.134729409313892			
524	0.204692413885649	529.5	0.135000368898527			
523	0.207714301195791	529	0.135662939585995			
522	0.21009333029719	528.5	0.135752053896798			
521	0.213054964679143	528	0.135757117209912			
520	0.215590160164146	527.5	0.137187141499348			
519	0.219735177456759	527	0.137613183131355			
518	0.222166951630268	526.5	0.135965870376291			
517	0.225080618692731	526	0.136389308018697			
516	0.227981147651149	525.5	0.137330939591781			
515	0.230360581816656	525	0.136177661530538			
514	0.234099784416351	524.5	0.138956118435234			
513	0.236915597150855	524	0.137916837252097			
512	0.240012474852361	523.5	0.137844793539791			
511	0.243390758748017	523	0.140425057902602			
510	0.247475096864769	522.5	0.138803785043552			
509	0.250979303597801	522	0.138777600481449			
508	0.253416367364654	521.5	0.14061153249128			
507	0.257728449412351	521	0.139217240725819			
506	0.260529630887768	520.5	0.139159808288499			
505	0.26480413271926	520	0.141765967881235			
