	g-C3N4-TiO2/water	PhCN-TiO2/Ethanol	PhCN-TiO2/water			
624	0.067866	0.118385	0.093871			
623.5	0.068482	0.117576	0.094574			
623	0.070004	0.120958	0.095932			
622.5	0.069047	0.120516	0.095836			
622	0.06872	0.119489	0.096434			
621.5	0.067501	0.119068	0.094782			
621	0.068351	0.121965	0.095858			
620.5	0.067916	0.121324	0.096437			
620	0.068463	0.121345	0.095382			
619.5	0.067813	0.12088	0.096243			
619	0.068747	0.121792	0.096313			
618.5	0.067759	0.121509	0.095446			
618	0.068621	0.120874	0.096141			
617.5	0.067884	0.121659	0.09573			
617	0.067717	0.121649	0.096399			
616.5	0.067958	0.122494	0.094992			
616	0.06796	0.122796	0.097942			
615.5	0.068282	0.123538	0.097852			
615	0.068683	0.123227	0.097387			
614.5	0.067544	0.123232	0.096686			
614	0.067886	0.123362	0.097158			
613.5	0.068739	0.124616	0.097514			
613	0.068736	0.124927	0.097932			
612.5	0.067512	0.124806	0.096782			
612	0.066821	0.125049	0.098049			
611.5	0.068251	0.125053	0.098151			
611	0.068426	0.125833	0.098629			
610.5	0.067263	0.125626	0.097119			
610	0.067266	0.126062	0.098679			
609.5	0.066721	0.12589	0.097035			
609	0.068184	0.126009	0.099891			
608.5	0.067588	0.126298	0.098247			
608	0.067732	0.126225	0.098491			
607.5	0.067727	0.127507	0.098846			
607	0.066954	0.127048	0.099396			
606.5	0.067369	0.127051	0.099509			
606	0.067276	0.128016	0.100041			
605.5	0.067769	0.12797	0.099953			
605	0.067506	0.127335	0.099232			
604.5	0.065023	0.126951	0.099459			
604	0.066947	0.127731	0.099094			
603.5	0.067529	0.128283	0.100107			
603	0.067493	0.12956	0.09981			
602.5	0.067224	0.129597	0.100515			
602	0.067638	0.129651	0.101897			
601.5	0.067293	0.129518	0.100603			
601	0.068087	0.130646	0.100803			
600.5	0.06766	0.131235	0.101438			
600	0.067599	0.130602	0.100378			
599.5	0.066763	0.130643	0.100172			
599	0.066575	0.129958	0.100402			
598.5	0.065475	0.130127	0.101297			
598	0.066226	0.131389	0.101024			
597.5	0.066718	0.131387	0.10099			
597	0.067508	0.132192	0.103185			
596.5	0.06731	0.132084	0.10218			
596	0.066175	0.132412	0.102115			
595.5	0.06697	0.132882	0.101276			
595	0.067121	0.132623	0.101507			
594.5	0.067014	0.134071	0.102349			
594	0.067194	0.133089	0.1022			
593.5	0.067564	0.134167	0.102442			
593	0.066382	0.134816	0.103168			
592.5	0.065697	0.132999	0.101571			
592	0.06656	0.135117	0.103959			
591.5	0.065518	0.13492	0.100954			
591	0.067053	0.135204	0.103646			
590.5	0.065854	0.13504	0.103047			
590	0.065836	0.13472	0.102095			
589.5	0.066583	0.136039	0.103395			
589	0.066183	0.136728	0.104517			
588.5	0.067036	0.136481	0.104134			
588	0.065626	0.136382	0.104107			
587.5	0.066141	0.136319	0.105226			
587	0.06734	0.13883	0.105988			
586.5	0.066555	0.138269	0.104738			
586	0.066732	0.138177	0.1046			
585.5	0.067453	0.138915	0.105785			
585	0.065535	0.137357	0.10464			
584.5	0.066892	0.1387	0.106275			
584	0.066141	0.139093	0.105997			
583.5	0.066432	0.14034	0.105743			
583	0.066612	0.139711	0.105785			
582.5	0.066578	0.14057	0.105711			
582	0.066419	0.140542	0.107295			
581.5	0.066909	0.141246	0.107532			
581	0.065596	0.140901	0.106952			
580.5	0.06609	0.140871	0.10674			
580	0.066466	0.142092	0.10783			
579.5	0.066292	0.141434	0.107325			
579	0.065024	0.143131	0.107404			
578.5	0.066575	0.142398	0.108273			
578	0.065753	0.142402	0.106766			
577.5	0.065831	0.14255	0.107565			
577	0.06604	0.14336	0.107735			
576.5	0.0666	0.143913	0.108927			
576	0.065965	0.144558	0.108133			
575.5	0.067082	0.145136	0.109161			
575	0.06523	0.144154	0.107612			
574.5	0.067141	0.145757	0.109623			
574	0.06514	0.145098	0.109022			
573.5	0.066737	0.145083	0.109373			
573	0.065793	0.146892	0.10981			
572.5	0.065977	0.145242	0.109377			
572	0.066623	0.146239	0.109823			
571.5	0.065835	0.146097	0.108862			
571	0.066381	0.147737	0.110452			
570.5	0.065236	0.147559	0.110005			
570	0.066888	0.148829	0.110913			
569.5	0.065447	0.148902	0.110911			
569	0.065392	0.148006	0.111813			
568.5	0.065295	0.149541	0.110404			
568	0.066237	0.149262	0.111388			
567.5	0.065979	0.150381	0.111733			
567	0.066092	0.150401	0.110866			
566.5	0.065939	0.150092	0.111417			
566	0.066595	0.150125	0.111913			
565.5	0.066136	0.150937	0.111697			
565	0.065276	0.151695	0.112357			
564.5	0.066509	0.151017	0.113283			
564	0.067063	0.152936	0.113486			
563.5	0.065993	0.152826	0.113525			
563	0.065235	0.154518	0.114594			
562.5	0.065997	0.153002	0.113586			
562	0.065629	0.153616	0.113902			
561.5	0.064955	0.153843	0.114099			
561	0.065599	0.155009	0.114599			
560.5	0.066998	0.155432	0.114897			
560	0.066026	0.154783	0.114337			
559.5	0.065685	0.157931	0.11524			
559	0.065398	0.15558	0.115852			
558.5	0.065272	0.155854	0.114255			
558	0.065643	0.156526	0.114899			
557.5	0.064906	0.157039	0.115307			
557	0.065751	0.158779	0.116054			
556.5	0.066298	0.159291	0.116919			
556	0.065803	0.158287	0.115854			
555.5	0.065825	0.159984	0.11686			
555	0.065705	0.159507	0.116057			
554.5	0.066618	0.160844	0.118192			
554	0.065547	0.160072	0.117448			
553.5	0.065631	0.160533	0.118057			
553	0.066568	0.16166	0.118161			
552.5	0.066142	0.161945	0.117615			
552	0.065306	0.162119	0.117699			
551.5	0.065463	0.161073	0.11852			
551	0.06507	0.162504	0.117918			
550.5	0.065765	0.162736	0.118079			
550	0.065747	0.164675	0.119373			
549.5	0.065928	0.164077	0.11998			
549	0.065452	0.16433	0.119802			
548.5	0.065047	0.165295	0.118905			
548	0.0646	0.164895	0.119042			
547.5	0.066211	0.166785	0.12088			
