	gC3N4		g-C3N4 hyb		PhCN		PhCN/Rutile		PhCN/anatase
1.046524	10	1.030727	11	1.042575	26	1.034676	8	1.042575	3
1.048498	8	1.032702	13	1.044549	17	1.036651	5	1.044549	6
1.050472	9	1.034676	21	1.046524	29	1.038625	6	1.046524	5
1.052447	14	1.036651	18	1.048498	20	1.0406	6	1.048498	4
1.054421	12	1.038625	16	1.050472	22	1.042575	13	1.050472	2
1.056395	8	1.0406	9	1.052447	19	1.044549	6	1.052447	5
1.05837	10	1.042575	12	1.054421	26	1.046524	5	1.054421	5
1.060344	7	1.044549	9	1.056395	21	1.048498	6	1.056395	3
1.062318	9	1.046524	10	1.05837	16	1.050472	8	1.05837	0
1.064292	10	1.048498	10	1.060344	15	1.052447	6	1.060344	5
1.066266	6	1.050472	9	1.062318	12	1.054421	6	1.062318	3
1.06824	12	1.052447	13	1.064292	14	1.056395	3	1.064292	5
1.070214	7	1.054421	20	1.066266	24	1.05837	5	1.066266	4
1.072188	8	1.056395	14	1.06824	18	1.060344	8	1.06824	2
1.074161	6	1.05837	14	1.070214	15	1.062318	5	1.070214	1
1.076135	8	1.060344	9	1.072188	19	1.064292	5	1.072188	3
1.078109	11	1.062318	6	1.074161	17	1.066266	8	1.074161	5
1.080083	9	1.064292	22	1.076135	26	1.06824	4	1.076135	8
1.082056	7	1.066266	11	1.078109	18	1.070214	6	1.078109	6
1.08403	11	1.06824	9	1.080083	20	1.072188	5	1.080083	10
1.086003	17	1.070214	10	1.082056	15	1.074161	1	1.082056	6
1.087977	10	1.072188	11	1.08403	29	1.076135	8	1.08403	3
1.08995	4	1.074161	15	1.086003	25	1.078109	2	1.086003	4
1.091924	8	1.076135	8	1.087977	21	1.080083	5	1.087977	4
1.093897	15	1.078109	11	1.08995	20	1.082056	2	1.08995	5
1.09587	8	1.080083	7	1.091924	17	1.08403	6	1.091924	2
1.097843	10	1.082056	9	1.093897	20	1.086003	2	1.093897	9
1.099817	5	1.08403	4	1.09587	28	1.087977	6	1.09587	3
1.10179	8	1.086003	13	1.097843	19	1.08995	6	1.097843	4
1.103763	7	1.087977	10	1.099817	18	1.091924	7	1.099817	2
1.105736	9	1.08995	6	1.10179	24	1.093897	6	1.10179	4
1.107709	5	1.091924	11	1.103763	18	1.09587	5	1.103763	3
1.109682	8	1.093897	10	1.105736	8	1.097843	3	1.105736	2
1.111655	13	1.09587	9	1.107709	23	1.099817	6	1.107709	4
1.113628	11	1.097843	12	1.109682	20	1.10179	2	1.109682	5
1.1156	13	1.099817	12	1.111655	15	1.103763	4	1.111655	7
1.117573	8	1.10179	11	1.113628	15	1.105736	1	1.113628	2
1.119546	9	1.103763	15	1.1156	20	1.107709	2	1.1156	2
1.121518	10	1.105736	8	1.117573	14	1.109682	3	1.117573	3
1.123491	7	1.107709	12	1.119546	21	1.111655	3	1.119546	2
1.125463	15	1.109682	8	1.121518	9	1.113628	1	1.121518	2
1.127436	4	1.111655	8	1.123491	20	1.1156	4	1.123491	2
1.129408	6	1.113628	8	1.125463	18	1.117573	2	1.125463	2
1.13138	11	1.1156	14	1.127436	15	1.119546	5	1.127436	3
1.133353	11	1.117573	12	1.129408	25	1.121518	3	1.129408	7
1.135325	10	1.119546	9	1.13138	14	1.123491	5	1.13138	5
1.137297	4	1.121518	14	1.133353	21	1.125463	3	1.133353	2
1.139269	10	1.123491	10	1.135325	12	1.127436	2	1.135325	4
1.141241	7	1.125463	12	1.137297	11	1.129408	5	1.137297	6
1.143213	6	1.127436	7	1.139269	13	1.13138	2	1.139269	4
1.145185	7	1.129408	12	1.141241	7	1.133353	6	1.141241	3
1.147157	6	1.13138	16	1.143213	25	1.135325	8	1.143213	2
1.149128	13	1.133353	12	1.145185	15	1.137297	3	1.145185	2
1.1511	7	1.135325	12	1.147157	14	1.139269	6	1.147157	4
1.153072	8	1.137297	14	1.149128	22	1.141241	3	1.149128	1
1.155043	11	1.139269	15	1.1511	15	1.143213	2	1.1511	4
1.157015	3	1.141241	9	1.153072	14	1.145185	1	1.153072	0
1.158986	5	1.143213	7	1.155043	14	1.147157	4	1.155043	3
1.160958	10	1.145185	9	1.157015	19	1.149128	6	1.157015	6
1.162929	5	1.147157	8	1.158986	18	1.1511	7	1.158986	3
1.164901	11	1.149128	14	1.160958	16	1.153072	4	1.160958	1
1.166872	2	1.1511	8	1.162929	23	1.155043	3	1.162929	3
1.168843	6	1.153072	11	1.164901	16	1.157015	1	1.164901	5
1.170814	6	1.155043	7	1.166872	10	1.158986	2	1.166872	7
1.172785	5	1.157015	8	1.168843	13	1.160958	7	1.168843	1
1.174756	8	1.158986	13	1.170814	17	1.162929	8	1.170814	3
1.176727	13	1.160958	7	1.172785	22	1.164901	1	1.172785	4
1.178698	4	1.162929	10	1.174756	18	1.166872	4	1.174756	2
1.180669	5	1.164901	13	1.176727	15	1.168843	2	1.176727	1
1.182639	4	1.166872	12	1.178698	11	1.170814	4	1.178698	0
1.18461	8	1.168843	8	1.180669	10	1.172785	4	1.180669	3
1.186581	10	1.170814	10	1.182639	18	1.174756	2	1.182639	5
1.188551	8	1.172785	14	1.18461	11	1.176727	3	1.18461	1
1.190522	6	1.174756	14	1.186581	16	1.178698	2	1.186581	1
1.192492	6	1.176727	11	1.188551	14	1.180669	4	1.188551	2
1.194463	3	1.178698	11	1.190522	14	1.182639	6	1.190522	5
1.196433	2	1.180669	11	1.192492	15	1.18461	6	1.192492	2
1.198403	12	1.182639	9	1.194463	13	1.186581	2	1.194463	3
1.200373	4	1.18461	8	1.196433	25	1.188551	2	1.196433	1
1.202343	10	1.186581	11	1.198403	10	1.190522	4	1.198403	6
1.204313	8	1.188551	14	1.200373	15	1.192492	4	1.200373	5
1.206283	7	1.190522	7	1.202343	19	1.194463	3	1.202343	2
1.208253	9	1.192492	8	1.204313	11	1.196433	4	1.204313	4
1.210223	10	1.194463	12	1.206283	5	1.198403	2	1.206283	5
1.212193	11	1.196433	11	1.208253	12	1.200373	4	1.208253	2
1.214162	10	1.198403	11	1.210223	18	1.202343	3	1.210223	5
1.216132	2	1.200373	9	1.212193	16	1.204313	3	1.212193	5
1.218101	13	1.202343	17	1.214162	17	1.206283	6	1.214162	1
1.220071	10	1.204313	8	1.216132	17	1.208253	3	1.216132	2
1.22204	10	1.206283	4	1.218101	16	1.210223	4	1.218101	1
1.22401	10	1.208253	18	1.220071	14	1.212193	1	1.220071	4
1.225979	10	1.210223	12	1.22204	14	1.214162	1	1.22204	2
1.227948	11	1.212193	5	1.22401	11	1.216132	3	1.22401	2
