	PhCN-TiO2-Ethanol	PhCN-TiO2-water	g-C3N4-TiO2-water
35.0045	1302	3281	1745
35.0546	1125	3219	1745
35.1047	1292	3583	1947
35.1548	1583	3667	1842
35.2049	1365	3969	2051
35.255	1333	3813	2148
35.3051	1292	4146	1810
35.3552	1313	4281	2292
35.4053	1302	4031	2174
35.4554	1479	4208	2585
35.5056	1313	5083	2930
35.5557	1521	4802	2624
35.6058	1448	5333	3027
35.6559	1583	5500	3203
35.706	1438	6354	3314
35.7561	1510	6698	3607
35.8062	1469	7313	4206
35.8563	1427	7292	4193
35.9064	1427	7823	4486
35.9565	1719	8448	5117
36.0066	1490	8740	5189
36.0568	1823	9792	5566
36.1069	1656	9469	5098
36.157	1656	9594	5163
36.2071	1656	9156	5085
36.2572	1698	9125	4922
36.3073	1875	8979	4408
36.3574	1938	8281	4056
36.4075	1771	7677	4089
36.4576	1979	7563	3737
36.5077	2010	6521	3509
36.5578	1854	6396	3197
36.608	2396	5792	3053
36.6581	2406	5958	3138
36.7082	2521	5271	2773
36.7583	2729	4667	2917
36.8084	2990	4177	2559
36.8585	3042	4250	2415
36.9086	3010	3854	2344
36.9587	3531	4010	2331
37.0088	3281	3594	2363
37.0589	3260	3510	2415
37.109	3271	3427	2207
37.1591	3240	3458	2025
37.2093	3990	2823	2116
37.2594	3531	2771	2161
37.3095	3813	2865	2142
37.3596	4021	2750	2096
37.4097	4125	2969	2044
37.4598	4760	2833	2331
37.5099	4740	2479	2292
37.56	5344	2885	1947
37.6101	5938	2927	2461
37.6602	6365	2521	2207
37.7103	7188	2615	2227
37.7605	7917	2750	2187
37.8106	8281	2563	2305
37.8607	8344	2781	2025
37.9108	8417	2698	2415
37.9609	8073	2646	1888
38.011	8188	2583	1849
38.0611	7281	2594	2090
38.1112	6823	2427	2096
38.1613	5885	2833	1927
38.2114	5063	2646	1855
38.2615	5031	2531	1960
38.3117	4771	2542	1875
38.3618	4938	2594	1862
38.4119	4594	2656	1758
38.462	4104	2375	1797
