	gcen4	gc3n4 tio2 water				
471.873515	15853	4590				
471.978975	15931	4594				
472.084435	16047	4555				
472.189895	16007	4552				
472.295354	15926	4536				
472.400814	15929	4592				
472.506273	15996	4503				
472.611733	15996	4551				
472.717192	16010	4541				
472.82265	15867	4537				
472.928109	15814	4485				
473.033568	15930	4483				
473.139026	15708	4581				
473.244484	15841	4470				
473.349942	15685	4559				
473.4554	15787	4582				
473.560858	15712	4420				
473.666315	15717	4492				
473.771773	15695	4535				
473.87723	15825	4492				
473.982687	15601	4413				
474.088144	15748	4499				
474.1936	15678	4528				
474.299057	15732	4546				
474.404513	15793	4520				
474.509969	15677	4552				
474.615425	15799	4525				
474.720881	15590	4468				
474.826337	15575	4495				
474.931792	15532	4671				
475.037248	15790	4622				
475.142703	15587	4478				
475.248158	15631	4495				
475.353613	15659	4496				
475.459067	15650	4435				
475.564522	15752	4504				
475.669976	15626	4468				
475.77543	15487	4605				
475.880884	15631	4496				
475.986338	15595	4409				
476.091792	15571	4470				
476.197245	15446	4450				
476.302699	15340	4409				
476.408152	15691	4425				
476.513605	15499	4479				
476.619057	15487	4456				
476.72451	15481	4429				
476.829963	15287	4424				
476.935415	15393	4398				
477.040867	15476	4415				
477.146319	15317	4456				
477.251771	15406	4468				
477.357222	15320	4463				
477.462674	15134	4396				
477.568125	15246	4481				
477.673576	15019	4471				
477.779027	15282	4358				
477.884478	15354	4477				
477.989928	15263	4443				
478.095379	15147	4473				
478.200829	15162	4432				
478.306279	15057	4356				
478.411729	15144	4489				
478.517179	15088	4446				
478.622628	15368	4430				
478.728078	15195	4355				
478.833527	15336	4390				
478.938976	15216	4446				
479.044425	15069	4379				
479.149874	15173	4477				
479.255322	15046	4463				
479.360771	15111	4318				
479.466219	15173	4488				
479.571667	14946	4500				
479.677115	15035	4354				
479.782563	15078	4392				
479.88801	14909	4362				
479.993457	14882	4307				
480.098905	15091	4317				
480.204352	14907	4286				
480.309799	14918	4385				
480.415245	15033	4258				
480.520692	14833	4369				
480.626138	15004	4397				
480.731584	14961	4310				
480.83703	14769	4349				
480.942476	15123	4449				
481.047922	14902	4284				
481.153367	14847	4394				
481.258813	15061	4318				
481.364258	14974	4428				
481.469703	14860	4331				
481.575148	14789	4295				
481.680592	14783	4399				
481.786037	14840	4287				
481.891481	14664	4238				
481.996925	14787	4254				
482.102369	14721	4293				
482.207813	14592	4188				
482.313257	14567	4250				
482.4187	14683	4294				
482.524143	14648	4276				
482.629586	14553	4332				
482.735029	14533	4354				
482.840472	14547	4176				
482.945915	14805	4407				
483.051357	14449	4202				
483.156799	14519	4243				
483.262241	14583	4289				
483.367683	14382	4223				
483.473125	14399	4196				
483.578567	14605	4188				
483.684008	14612	4260				
483.789449	14538	4239				
483.89489	14295	4242				
484.000331	14530	4200				
484.105772	14455	4223				
484.211213	14276	4287				
484.316653	14377	4265				
484.422093	14407	4332				
484.527533	14388	4261				
484.632973	14486	4253				
484.738413	14378	4176				
484.843852	14365	4199				
484.949292	14432	4196.5				
485.054731	14499	4194				
485.16017	14364	4240				
485.265609	14327	4215				
485.371047	14433	4190				
485.476486	14323	4158				
485.581924	14272	4184				
485.687362	14389	4281				
485.7928	14407	4211				
485.898238	14267	4208				
486.003676	14346	4175				
486.109113	14421	4178				
486.21455	14260	4237				
486.319987	14229	4217				
486.425424	14388	4179				
486.530861	14225	4167				
486.636298	14341	4225				
486.741734	14199	4194				
486.84717	14157	4228				
486.952607	14324	4211				
487.058042	14173	4203				
487.163478	14370	4271				
487.268914	14288	4205				
487.374349	14318	4203				
487.479784	14038	4200				
487.585219	14311	4197				
487.690654	14366	4267				
487.796089	14109	4092				
487.901524	14280	4088				
488.006958	14069	4119				
488.112392	13981	4059				
488.217826	14238	4197				
488.32326	14195	4225				
488.428694	14130	4271				
488.534127	14053	4143				
488.639561	14078	4155				
488.744994	14110	4093				
488.850427	13957	4110				
488.95586	13946	4080				
489.061292	13934	4078				
489.166725	13887	4127				
489.272157	13987	4189				
489.377589	14105	4183				
489.483021	13884	4241				
489.588453	14163	4134				
489.693885	13807	4120				
489.799316	13693	4171				
489.904747	14203	4082				
490.010178	13989	4056				
490.115609	13825	4188				
490.22104	13963	4079				
490.326471	14127	4195				
490.431901	13908	4076				
490.537331	13902	4090				
490.642761	13804	4125				
490.748191	13913	4217				
490.853621	13709	4024				
490.95905	13723.5	4056				
491.06448	13738	4088				
491.169909	13936	4150				
491.275338	13728	4056				
491.380767	13825	4036				
491.486196	13680	4085				
491.591624	13861	4181				
491.697052	13820	3983				
491.802481	13748	4127				
491.907908	13783	4101				
492.013336	13922	4100				
492.118764	13811	4106				
492.224191	13947	4030				
492.329619	13873	4062				
492.435046	13665	4186				
492.540473	13655	4114				
492.6459	13597	4193				
492.751326	13723	4063				
492.856753	13796	4040				
492.962179	13697	4147				
493.067605	13653	4093				
493.173031	13871	4038				
493.278457	13645	4063				
493.383882	13690	4099				
493.489307	13608	4074				
493.594733	13647	4064				
493.700158	13653	4059				
493.805583	13506	4033				
493.911007	13567	4013				
494.016432	13627	4100				
494.121856	13781	4057				
494.22728	13665	4079				
494.332704	13706	4075				
494.438128	13473	4036				
494.543552	13552	4108				
494.648975	13699	4087				
494.754399	13616	4025				
494.859822	13791	4010				
494.965245	13588	4052				
495.070667	13588	3910				
495.17609	13417	4020				
495.281513	13489	4072				
495.386935	13491	4069				
495.492357	13467	4095				
495.597779	13612	4002				
495.703201	13405	4033				
495.808622	13452	4044				
495.914043	13435	3993				
496.019465	13493	4017				
496.124886	13535	4108				
496.230307	13521	3945				
496.335727	13427	4039				
496.441148	13323	4004				
496.546568	13345	4035				
496.651988	13306	4036				
496.757408	13434	4002				
496.862828	13497	4026				
496.968248	13263	4071				
497.073667	13448	4003				
497.179087	13203	3986				
497.284506	13274	3991				
497.389925	13268	4049				
497.495343	13302	3981				
497.600762	13435	4011				
497.70618	13225	4029				
497.811599	13320	3959				
497.917017	13217	4055				
498.022435	13273	3926				
498.127852	13286	4011				
498.23327	13222	3989				
498.338687	13275	3982				
498.444105	13297	3998				
498.549522	13199	3962				
498.654938	13164	4069				
498.760355	13199	4006				
498.865772	13160	3984				
498.971188	13217	3944				
499.076604	13392	4006				
499.18202	13107	3809				
499.287436	12955	4020				
499.392852	13125	3947				
499.498267	13033	3923				
499.603682	12981	3868				
499.709097	13029	3914				
499.814512	13086	3961				
499.919927	13044	3899				
500.025342	12956	4021				
500.130756	12972	3951				
500.23617	13093	3956				
500.341584	12998	4020				
500.446998	13110	3970				
500.552412	12837	3949				
500.657825	13232	3980				
500.763239	13005	3947				
500.868652	12827	3901				
500.974065	12967	3879				
501.079478	13089	3996				
501.184891	13073	3945				
501.290303	13010	3870				
501.395715	12907	3873				
501.501127	12931	4002				
501.606539	12900	3955				
501.711951	12961	3834				
501.817363	12977	4010				
501.922774	12901	3893				
502.028185	12765	3840				
502.133596	13033	3857				
502.239007	12785	3834				
502.344418	12756	3932				
502.449829	12918	3876				
502.555239	12865	3931				
502.660649	12798	3918				
502.766059	12795	3895				
502.871469	12789	3810				
502.976879	12807	3902				
503.082288	12657	3903				
503.187698	12754	3844				
503.293107	12729	3801				
503.398516	12666	3912				
503.503924	12748	3895				
503.609333	12475	4012				
503.714742	12725	3808				
503.82015	12737	3837				
503.925558	12585	3842				
504.030966	12641	3820				
504.136374	12586	3841				
504.241781	12606	3831				
504.347188	12498	3745				
504.452596	12657	3821				
504.558003	12528	3808				
504.66341	12408	3787				
504.768816	12603	3700				
504.874223	12667	3823				
504.979629	12423	3878				
505.085035	12398	3840				
505.190441	12375	3775				
505.295847	12567	3903				
505.401253	12540	3818				
505.506658	12435	3821				
505.612063	12573	3749				
505.717468	12534	3754				
505.822873	12339	3734				
505.928278	12451	3827				
506.033683	12420	3803				
506.139087	12438	3783				
506.244491	12381	3764				
506.349895	12438	3782				
506.455299	12332	3769				
506.560703	12193	3726				
506.666106	12237	3768				
506.77151	12324	3751				
506.876913	12186	3647				
506.982316	12190	3692				
507.087718	12201	3603				
507.193121	12147	3804				
507.298523	12088	3806				
507.403926	12240	3695				
507.509328	12181	3758				
507.61473	12136	3743				
507.720131	12216	3659				
507.825533	12271	3726				
507.930934	12003	3748				
508.036336	12083	3652				
508.141737	12177	3757				
508.247137	12140	3637				
508.352538	12230	3612				
508.457939	11916	3640				
508.563339	12039	3600				
508.668739	12012	3698				
508.774139	11876	3651				
508.879539	12017	3679				
508.984938	11921	3612				
509.090338	11893	3625				
509.195737	11966	3619				
509.301136	11826	3601				
509.406535	11859	3581				
509.511934	11876	3660				
509.617332	11829	3612				
509.722731	11769	3583				
509.828129	11672	3598				
509.933527	11779	3565				
510.038925	11807	3630				
510.144322	11749	3563				
510.24972	11539	3536				
510.355117	11774	3484				
510.460514	11716	3564				
510.565911	11665	3510				
510.671308	11757	3566				
510.776704	11641	3602				
510.882101	11496	3614				
510.987497	11651	3538				
511.092893	11672	3529				
511.198289	11645	3486				
511.303685	11380	3475				
511.40908	11511	3542				
511.514476	11523	3472				
511.619871	11440	3506				
511.725266	11437	3476				
511.830661	11535	3511				
511.936055	11297	3649				
512.04145	11476	3498				
512.146844	11423	3467				
512.252238	11389	3430				
512.357632	11258	3530				
512.463026	11181	3342				
512.568419	11412	3510				
512.673813	11403	3483				
512.779206	11280	3540				
512.884599	11350	3397				
512.989992	11384	3411				
513.095384	11375	3424				
513.200777	11215	3573				
513.306169	11307	3550				
513.411561	11281	3535				
513.516953	11148	3377				
513.622345	11220	3580				
513.727737	11194	3460				
513.833128	11203	3417				
513.938519	11095	3413				
514.04391	11209	3417				
514.149301	11196	3424				
514.254692	11062	3436				
514.360082	11076	3380				
514.465473	11087	3427				
514.570863	11093	3321				
514.676253	11126	3405				
514.781643	11098	3419				
514.887032	11142	3402				
514.992422	10987	3443				
515.097811	10984	3439				
515.2032	11088	3409				
515.308589	11125	3393				
515.413978	10998	3389				
515.519366	10919	3276				
515.624755	10932	3280				
515.730143	10866	3318				
515.835531	11051	3359				
515.940919	10918	3364				
516.046306	10956	3382				
516.151694	10854	3306				
516.257081	10830	3362				
516.362468	10872	3332				
516.467855	10734	3341				
516.573242	10636	3392				
516.678629	10692	3364				
516.784015	10723	3241				
516.889401	10939	3319				
516.994787	10796	3399				
517.100173	10971	3310				
517.205559	10865	3334				
517.310944	10506	3298				
517.41633	10650	3223				
517.521715	10629	3282				
517.6271	10739	3175				
517.732485	10737	3307				
517.837869	10675	3237				
517.943254	10711	3238				
518.048638	10607	3278				
518.154022	10622	3326				
518.259406	10547	3227				
518.36479	10606	3250				
518.470173	10458	3218				
518.575556	10338	3243				
518.68094	10415	3226				
518.786323	10547	3176				
518.891705	10342	3127				
518.997088	10239	3141				
519.102471	10245	3161				
519.207853	10201	3028				
519.313235	10116	3191				
519.418617	10212	3032				
519.523999	10171	3090				
519.62938	10144	3010				
519.734761	10279	3166				
519.840143	10032	3163				
519.945524	10123	3186				
520.050905	10255	3189				
520.156285	10223	3224				
520.261666	10206	3061				
520.367046	10270	3166				
520.472426	10143	3167				
520.577806	10225	3134				
520.683186	10179	3165				
520.788565	10070	3129				
520.893945	10102	3147				
520.999324	10128	3038				
521.104703	10041	3078				
521.210082	10075	3134				
521.31546	10157	3010				
521.420839	10000	3161				
521.526217	9960	3038				
521.631595	10039	3092				
521.736973	9963	3118				
521.842351	9947	2986				
521.947729	9990	3009				
522.053106	9894	3025				
522.158483	9809	3091				
522.26386	9836	3060				
522.369237	10027	3061				
522.474614	9806	3069				
522.57999	9770	3029				
522.685367	9883	3152				
522.790743	9828	3088				
522.896119	9917	3004				
523.001495	9810	3074				
523.10687	9850	3045				
523.212246	9839	3072				
523.317621	9826	3095				
523.422996	9586	2994				
523.528371	9649	2992				
523.633745	9681	3069				
523.73912	9797	2987				
523.844494	9769	3038				
523.949868	9671	2966				
524.055242	9647	2988				
524.160616	9674	3002				
524.26599	9769	3029				
524.371363	9697	2965				
524.476737	9534	3057				
524.58211	9698	2956				
524.687482	9586	2839				
524.792855	9741	2998				
524.898228	9511	2995				
525.0036	9551	2926				
525.108972	9633	2957				
525.214344	9494	2920				
525.319716	9493	2975				
525.425088	9375	2923				
525.530459	9489	2937				
525.63583	9415	2951				
525.741201	9467	2879				
525.846572	9318	2930				
525.951943	9449	2890				
526.057313	9351	2921				
526.162684	9301	2930				
526.268054	9403	2895				
526.373424	9354	2863				
526.478794	9328	2926				
526.584163	9222	2832				
526.689533	9241	2845				
526.794902	9278	2814				
526.900271	9182	2874				
527.00564	9238	2782				
527.111009	9190	2943				
527.216377	9195	2777				
527.321745	9280	2865				
527.427114	9292	2845				
527.532482	9164	2825				
527.637849	9125	2851				
527.743217	9173	2792				
527.848584	9307	2851				
527.953952	9216	2808				
528.059319	9138	2909				
528.164686	9106	2819				
528.270052	8944	2726				
528.375419	9123	2769				
528.480785	9111	2767				
528.586151	9042	2798				
528.691517	9046	2789				
528.796883	8963	2799				
528.902249	9107	2880				
529.007614	8925	2711				
529.112979	9011	2862				
529.218344	8906	2820				
529.323709	8892	2782				
529.429074	8851	2821				
529.534439	8918	2777				
529.639803	8906	2789				
529.745167	8823	2842				
529.850531	8752	2759				
529.955895	8899	2791				
530.061258	8841	2771				
530.166622	8827	2791				
530.271985	8754	2701				
530.377348	8724	2714				
530.482711	8794	2753				
530.588074	8755	2729				
530.693436	8716	2798				
530.798798	8755	2727				
530.904161	8703	2698				
531.009522	8675	2709				
531.114884	8693	2727				
531.220246	8829	2676				
531.325607	8649	2668				
531.430968	8582	2636				
531.53633	8691	2783				
531.64169	8665	2674				
531.747051	8591	2682				
531.852412	8751	2627				
531.957772	8522	2658				
532.063132	8557	2646				
532.168492	8566	2632				
532.273852	8435	2688				
532.379211	8569	2612				
532.484571	8403	2635				
532.58993	8523	2595				
532.695289	8476	2635				
532.800648	8518	2590				
532.906006	8516	2649				
533.011365	8466	2716				
533.116723	8586	2678				
533.222081	8422	2631				
533.327439	8488	2593				
533.432797	8493	2647				
533.538154	8440	2610				
533.643512	8629	2623				
533.748869	8383	2677				
533.854226	8499	2643				
533.959583	8404	2580				
534.064939	8391	2620				
534.170296	8274	2586				
534.275652	8389	2559				
534.381008	8290	2631				
534.486364	8344	2632				
534.59172	8189	2592				
534.697075	8343	2543				
534.802431	8302	2592				
534.907786	8177	2553				
535.013141	8274	2519				
535.118496	8265	2575				
535.22385	8191	2478				
535.329205	8183	2531				
535.434559	8286	2554				
535.539913	8185	2601				
535.645267	8246	2529				
535.750621	8218	2611				
535.855974	8209	2554				
535.961327	8234	2508				
536.066681	8131	2508				
536.172034	8123	2448				
536.277386	8197	2557				
536.382739	8116	2537				
536.488091	8199	2569				
536.593444	8108	2561				
536.698796	8046	2434				
536.804147	8159	2493				
536.909499	8058	2466				
537.014851	8100	2559				
537.120202	7879	2524				
537.225553	8072	2503				
537.330904	7969	2505				
537.436255	7896	2493				
537.541605	8023	2438				
537.646956	7957	2446				
537.752306	7841	2399				
537.857656	8009	2460				
537.963006	7930	2466				
538.068355	7774	2501				
538.173705	7750	2463				
538.279054	7899	2405				
538.384403	7778	2437				
538.489752	7737	2453				
538.595101	7911	2451				
538.700449	7864	2429				
538.805798	7836	2429				
538.911146	7824	2395				
539.016494	7908	2445				
539.121842	7866	2396				
539.227189	7907	2483				
539.332537	7658	2418				
539.437884	7754	2408				
539.543231	7776	2351				
539.648578	7717	2452				
539.753924	7684	2390				
539.859271	7649	2431				
539.964617	7696	2355				
540.069963	7688	2412				
540.175309	7645	2328				
540.280655	7563	2360				
540.386001	7543	2418				
540.491346	7602	2374				
540.596691	7518	2384				
