	PhCN	PhCN/TiO2-Ethanol	PhCN-TiO2-water			
477.357222	13255	1940	6845			
477.462674	13220	1993	6871			
477.568125	13220	2007	6934			
477.673576	13338	2032	6844			
477.779027	13215	2042	6967			
477.884478	13253	2040	6848			
477.989928	13274	1969	6788			
478.095379	13492	2053	6930			
478.200829	13324	2079	6849			
478.306279	13405	1960	6847			
478.411729	13319	2049	6813			
478.517179	13467	2017	6826			
478.622628	13493	2068	6841			
478.728078	13403	2011	6926			
478.833527	13368	1971	6870			
478.938976	13295	1995	6914			
479.044425	13266	1993	7004			
479.149874	13451	2038	6950			
479.255322	13524	2125	6951			
479.360771	13324	2057	6997			
479.466219	13348	2009	6984			
479.571667	13432	2071	6971			
479.677115	13438	2090	6998			
479.782563	13249	2083	6896			
479.88801	13254	2068	6799			
479.993457	13494	2087	6887			
480.098905	13381	2039	6943			
480.204352	13421	2036	6962			
480.309799	13459	2095	6954			
480.415245	13310	2072	6915			
480.520692	13421	2038	7059			
480.626138	13360	2024	7005			
480.731584	13396	2021	6912			
480.83703	13309	2113	7010			
480.942476	13347	2041	6925			
481.047922	13399	2049	7018			
481.153367	13376	2074	6925			
481.258813	13292	2081	7018			
481.364258	13414	2061	7038			
481.469703	13406	2113	6984			
481.575148	13387	2143	7070			
481.680592	13493	1999	6975			
481.786037	13290	2017	6985			
481.891481	13354	2076	6923			
481.996925	13361	2018	6864			
482.102369	13261	2039	7011			
482.207813	13288	2082	6989			
482.313257	13177	2075	6836			
482.4187	13322	2083	6839			
482.524143	13262	2028	6910			
482.629586	13139	2103	7014			
482.735029	13350	2079	6957			
482.840472	13260	2079	7004			
482.945915	13272	2062	6847			
483.051357	13433	2068	6976			
483.156799	13347	2124	7022			
483.262241	13134	2074	6957			
483.367683	13077	2131	6988			
483.473125	13236	2070	6883			
483.578567	13470	2071	7061			
483.684008	13387	2034	6976			
483.789449	13310	2051	6958			
483.89489	13348	2065	6989			
484.000331	13377	2099	7016			
484.105772	13374	2094	7002			
484.211213	13332	2082	7055			
484.316653	13023	2102	7013			
484.422093	13246	2132	7002			
484.527533	13265	2045	6862			
484.632973	13413	2105	6972			
484.738413	13248	2092	6999			
484.843852	13352	2070	6923			
484.949292	13262.5	2099.5	6928.5			
485.054731	13173	2129	6934			
485.16017	13243	2112	6924			
485.265609	13240	2078	6913			
485.371047	13193	2093	6896			
485.476486	13132	2086	6937			
485.581924	13206	2043	6924			
485.687362	13070	2053	7023			
485.7928	13321	2105	6818			
485.898238	13240	2144	6986			
486.003676	13400	2112	6936			
486.109113	13302	2098	7032			
486.21455	13358	2107	6985			
486.319987	13241	2081	7047			
486.425424	13318	2157	6921			
486.530861	13298	2053	7025			
486.636298	13392	2052	6891			
486.741734	13315	2059	7082			
486.84717	13345	2070	7045			
486.952607	13354	2056	6934			
487.058042	13284	2131	7049			
487.163478	13125	2037	6950			
487.268914	13327	2105	7039			
487.374349	13313	2087	7056			
487.479784	13379	2121	6928			
487.585219	13363	2081	6945			
487.690654	13218	2117	6991			
487.796089	13220	2075	6907			
487.901524	13380	2113	7131			
488.006958	13115	2062	7004			
488.112392	13313	2105	6988			
488.217826	13206	2156	6953			
488.32326	13460	2120	6920			
488.428694	13225	2164	6971			
488.534127	13271	2094	7033			
488.639561	13295	2065	6947			
488.744994	13169	2145	7002			
488.850427	13321	2154	6871			
488.95586	13278	2109	6932			
489.061292	13395	2133	7020			
489.166725	13393	2094	6872			
489.272157	13462	2107	6895			
489.377589	13280	2107	6936			
489.483021	13344	2091	6877			
489.588453	13312	2118	6974			
489.693885	13401	2118	6918			
489.799316	13302	2095	6907			
489.904747	13258	2164	6991			
490.010178	13368	2136	6857			
490.115609	13284	1995	7070			
490.22104	13320	2174	6911			
490.326471	13485	2104	7040			
490.431901	13332	2146	6976			
490.537331	13256	2122	7011			
490.642761	13244	2114	7067			
490.748191	13273	2070	6916			
490.853621	13316	2137	7030			
490.95905	13347.5	2132	7028.5			
491.06448	13379	2127	7027			
491.169909	13235	2206	7046			
491.275338	13314	2151	6956			
491.380767	13271	2111	7047			
491.486196	13211	2124	6938			
491.591624	13282	2114	6898			
491.697052	13466	2148	6899			
491.802481	13398	2036	6990			
491.907908	13363	2156	6848			
492.013336	13330	2112	6830			
492.118764	13388	2083	7071			
492.224191	13452	2126	6838			
492.329619	13459	2081	7041			
492.435046	13333	2151	6951			
492.540473	13467	2165	6933			
492.6459	13410	2160	7038			
492.751326	13276	2124	7082			
492.856753	13385	2090	6961			
492.962179	13319	2153	7013			
493.067605	13164	2111	6874			
493.173031	13470	2132	7025			
493.278457	13305	2152	6925			
493.383882	13299	2081	6800			
493.489307	13148	2100	6988			
493.594733	13306	2094	7014			
493.700158	13236	2093	6963			
493.805583	13344	2115	6969			
493.911007	13332	2100	6763			
494.016432	13298	2151	6856			
494.121856	13146	2132	6935			
494.22728	13289	2085	6880			
494.332704	13333	2131	6866			
494.438128	13446	2146	6868			
494.543552	13232	2143	6934			
494.648975	13283	2110	6956			
